ACCT_ID,ACTIVE_FL,FY_CD_FR,PD_NO_FR,FY_CD_TO,PD_NO_TO,ACCT_ENTR_GRP_CD,PROJ_REQD_FL,S_ACCT_TYPE_CD,DETL_FL,ACCT_NAME,TOP_FL,MODIFIED_BY,TIME_STAMP,L1_ACCT_NAME,L2_ACCT_NAME,L3_ACCT_NAME,L4_ACCT_NAME,L5_ACCT_NAME,L6_ACCT_NAME,L7_ACCT_NAME,LVL_NO,L1_ACCT_SEG_ID,L2_ACCT_SEG_ID,L3_ACCT_SEG_ID,L4_ACCT_SEG_ID,L5_ACCT_SEG_ID,L6_ACCT_SEG_ID,L7_ACCT_SEG_ID,L8_ACCT_SEG_ID,TC_ACCT_TYPE_CD,ROWVERSION,SFT_FL,MES_FL
0100,N,,,,,,N,,N,CASH,Y,SGOSS,2016-02-14,CASH,0,0,0,0,0,0,1,0100,0,0,0,0,0,0,0,,0,N,N
0100-000,Y,,,,,ALL,N,A,Y,WELLS FARGO CHECKING,N,JLAPINGTON,2016-02-25,CASH,WELLS FARGO CHECKING,0,0,0,0,0,2,0100,000,0,0,0,0,0,0,,1,N,N
0100-005,Y,,,,,ALL,N,A,Y,WELLS FARGO SAVING,N,49301.ISMAIL.MARMAR,2016-10-19,CASH,WELLS FARGO SAVING,0,0,0,0,0,2,0100,005,0,0,0,0,0,0,,1,N,N
0100-010,Y,,,,,ALL,N,A,Y,WELLS FARGO FSA,N,LWORTMAN,2016-02-25,CASH,WELLS FARGO FSA,0,0,0,0,0,2,0100,010,0,0,0,0,0,0,,1,N,N
0100-015,Y,,,,,ALL,N,A,Y,CITI BANK CHECKING,N,JLAPINGTON,2017-02-28,CASH,CITI BANK CHECKING,0,0,0,0,0,2,0100,015,0,0,0,0,0,0,,1,N,N
0100-020,Y,,,,,ALL,N,A,Y,CITI BANK SAVING,N,JLAPINGTON,2017-02-28,CASH,CITI BANK SAVING,0,0,0,0,0,2,0100,020,0,0,0,0,0,0,,1,N,N
0100-025,Y,,,,,ALL,N,A,Y,ZENEFITS BENEFIT DEDS,N,BADAWII,2018-01-31,CASH,ZENEFITS BENEFIT DEDS,0,0,0,0,0,2,0100,025,0,0,0,0,0,0,,3,N,N
0100-500,Y,,,,,ALL,N,A,Y,PETTY CASH ITG,N,JLAPINGTON,2017-02-28,CASH,PETTY CASH ITG,0,0,0,0,0,2,0100,500,0,0,0,0,0,0,,1,N,N
0110,N,,,,,ALL,N,,N,RECEIVABLES,Y,SGOSS,2016-02-14,RECEIVABLES,,,,,,,1,0110,,,,,,,,,0,N,N
0110-000,Y,,,,,ALL,Y,A,Y,ACCOUNTS RECEIVABLE,N,49301.ISMAIL.MARMAR,2016-03-28,RECEIVABLES,ACCOUNTS RECEIVABLE,0,0,0,0,0,2,0110,000,0,0,0,0,0,0,,1,N,N
0110-005,Y,,,,,ALL,Y,A,Y,UNBILLED RECEIVABLES,N,49301.ISMAIL.MARMAR,2016-03-28,RECEIVABLES,UNBILLED RECEIVABLES,0,0,0,0,0,2,0110,005,0,0,0,0,0,0,,2,N,N
0110-010,Y,,,,,ALL,Y,A,Y,UNBILLED RETAINAGE,N,SGOSS,2016-02-14,RECEIVABLES,UNBILLED RETAINAGE,0,0,0,0,0,2,0110,010,0,0,0,0,0,0,,0,N,N
0110-015,Y,,,,,ALL,N,A,Y,AR CLEARING/SUSPENSE,N,49301.ISMAIL.MARMAR,2016-03-28,RECEIVABLES,AR CLEARING/SUSPENSE,0,0,0,0,0,2,0110,015,0,0,0,0,0,0,,1,N,N
0110-020,Y,,,,,ALL,N,A,Y,A/R COBRA RECEIVABLE,N,49301.ISMAIL.MARMAR,2016-03-28,RECEIVABLES,A/R COBRA RECEIVABLE,0,0,0,0,0,2,0110,020,0,0,0,0,0,0,,1,N,N
0110-025,Y,,,,,ALL,N,A,Y,A/R EMPLOYEE RECEIVABLE,N,49301.ISMAIL.MARMAR,2016-03-28,RECEIVABLES,A/R EMPLOYEE RECEIVABLE,0,0,0,0,0,2,0110,025,0,0,0,0,0,0,,1,N,N
0110-030,Y,,,,,ALL,N,A,Y,A/R INTEREST RECEIVABLE,N,49301.ISMAIL.MARMAR,2016-03-28,RECEIVABLES,A/R INTEREST RECEIVABLE,0,0,0,0,0,2,0110,030,0,0,0,0,0,0,,1,N,N
0110-035,Y,,,,,ALL,N,A,Y,A/R OTHER,N,BADAWII,2018-02-27,RECEIVABLES,A/R OTHER,0,0,0,0,0,2,0110,035,0,0,0,0,0,0,,3,N,N
0110-040,Y,,,,,ALL,N,A,Y,A/R SHAREHOLDERS,N,49301.ISMAIL.MARMAR,2016-03-28,RECEIVABLES,A/R SHAREHOLDERS,0,0,0,0,0,2,0110,040,0,0,0,0,0,0,,1,N,N
0115,N,,,,,,N,,N,ALLOW FOR DOUBTFUL ACCTS,Y,SGOSS,2016-02-14,ALLOW FOR DOUBTFUL ACCTS,0,0,0,0,0,0,1,0115,0,0,0,0,0,0,0,,0,N,N
0115-000,Y,,,,,ALL,N,A,Y,ALLOW FOR DOUBTFUL ACCTS,N,JLAPINGTON,2017-02-28,ALLOW FOR DOUBTFUL ACCTS,ALLOW FOR DOUBTFUL ACCTS,0,0,0,0,0,2,0115,000,0,0,0,0,0,0,,2,N,N
0120,N,,,,,,N,,N,ADVANCES,Y,SGOSS,2016-02-14,ADVANCES,0,0,0,0,0,0,1,0120,0,0,0,0,0,0,0,,0,N,N
