FS_CD,FS_LN_KEY,ACCT_ID,MODIFIED_BY,TIME_STAMP,COMPANY_ID,S_CF_ACCT_TYP_CD,S_CF_ACTVTY_CD,ROWVERSION
BALSHT,27,0245-020,SGOSS,2016-02-13,1,,,0
INCSTM,24,0517-010,SGOSS,2016-02-13,1,,,0
INCSTM,25,0517-105,SGOSS,2016-02-13,1,,,0
INCSTM,25,0517-110,SGOSS,2016-02-13,1,,,0
INCSTM,7,1010-005,SGOSS,2016-02-13,1,,,0
BALSHT,38,0508-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0505-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0505-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0500-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0500-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0488-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0472-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0350-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0300-000,SGOSS,2016-02-13,1,,,0
BALSHT,37,0340-000,SGOSS,2016-02-13,1,,,0
BALSHT,36,0320-000,SGOSS,2016-02-13,1,,,0
BALSHT,33,0275-000,SGOSS,2016-02-13,1,,,0
BALSHT,31,0270-000,SGOSS,2016-02-13,1,,,0
BALSHT,31,0270-005,SGOSS,2016-02-13,1,,,0
BALSHT,31,0270-010,SGOSS,2016-02-13,1,,,0
BALSHT,31,0270-015,SGOSS,2016-02-13,1,,,0
BALSHT,30,0285-000,SGOSS,2016-02-13,1,,,0
BALSHT,30,0265-1TX,SGOSS,2016-02-13,1,,,0
BALSHT,30,0265-1PA,SGOSS,2016-02-13,1,,,0
BALSHT,30,0265-1CA,SGOSS,2016-02-13,1,,,0
BALSHT,38,0783-00M,SGOSS,2016-02-13,1,,,0
BALSHT,38,0783-00E,SGOSS,2016-02-13,1,,,0
BALSHT,38,0783-00C,SGOSS,2016-02-13,1,,,0
BALSHT,38,0783-00B,SGOSS,2016-02-13,1,,,0
BALSHT,38,0783-00A,SGOSS,2016-02-13,1,,,0
BALSHT,38,0700-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0683-00C,SGOSS,2016-02-13,1,,,0
BALSHT,38,0600-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0583-10M,SGOSS,2016-02-13,1,,,0
BALSHT,38,0583-10F,SGOSS,2016-02-13,1,,,0
BALSHT,38,0583-00M,SGOSS,2016-02-13,1,,,0
BALSHT,38,0583-00F,SGOSS,2016-02-13,1,,,0
BALSHT,38,0572-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0572-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0571-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0571-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0570-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0570-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0563-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0563-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0562-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0562-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0561-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0561-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0560-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0559-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0559-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0555-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0555-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0550-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0550-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0549-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0549-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0547-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0547-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0546-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0546-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0545-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0545-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0544-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0544-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0542-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0542-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0540-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0540-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0534-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0534-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0532-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0532-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0530-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0530-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0526-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0526-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0525-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0525-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0524-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0524-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0816-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0815-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0814-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0813-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0812-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0811-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0808-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0805-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0800-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0783-00R,SGOSS,2016-02-13,1,,,0
BALSHT,38,0415-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0411-000,SGOSS,2016-02-13,1,,,0
