PROJ_ID,ORG_ID,POOL_NO,ALLOC_GRP_NO,ACCT_ID,FY_CD,MODIFIED_BY,TIME_STAMP,BURD_AMT,ALLOW_BURD_AMT,COM_AMT,COM_ALLOW_AMT,ROWVERSION,COMPANY_ID,DISC_AMT
010107.00A.003.002.006,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,53.64,53.64,0,0,0,1,0
010803.000.002.001,1.01,160,1,1020-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
010301.001.001,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,1567.75,1567.75,0,0,0,1,0
010603.000.003,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,8303.69,8303.69,0,0,0,1,0
010106.001.008.003,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,19532.6,19532.6,0,0,0,1,0
010106.001.011.011.005,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,286.47,286.47,0,0,0,1,0
020110.000.003.012,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,76827.62,76827.62,0,0,0,1,0
010107.00A.003.005.003,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,123.85,123.85,0,0,0,1,0
010107.00A.003.005.002,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,91.82,91.82,0,0,0,1,0
010802.002.005,1.01,175,1,1100-000,2016,JLAPINGTON,2017-06-28,2.64,2.64,0,0,0,1,0
000850.001.001,1.01.01,300,1,0800-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
010107.00A.004.000.003,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,273.39,273.39,0,0,0,1,0
010105.003.002.009.002,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,23763.63,23763.63,0,0,0,1,0
010106.001.011.003.001,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,107.22,107.22,0,0,0,1,0
020602.002.002.000,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,2068.2,0,0,0,0,1,0
020110.000.003.015,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,2703.85,2703.85,0,0,0,1,0
010102.002.001.001,1.01.01,175,1,1000-000,2016,JLAPINGTON,2017-06-28,20.8,20.8,0,0,0,1,0
010106.001.011.009.001,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,434.29,434.29,0,0,0,1,0
010802.002.002,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,13432.53,13432.53,0,0,0,1,0
010102.002.008.001,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,38794.39,38794.39,0,0,0,1,0
010106.001.011.012.002,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,1707.56,1707.56,0,0,0,1,0
010107.00A.003.004.004,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,496.67,496.67,0,0,0,1,0
020110.000.003.019,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,3176.8,3176.8,0,0,0,1,0
000850.001.004,1.01.01,300,1,0800-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
010106.001.008.002,1.01.01,110,1,1000-000,2016,JLAPINGTON,2017-06-28,1119.21,1119.21,0,0,0,1,0
010802.002.003,1.01.01,110,1,1000-000,2016,JLAPINGTON,2017-06-28,458.75,458.75,0,0,0,1,0
010102.02A.003,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,4941.2,4941.2,0,0,0,1,0
010802.002.004,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,531.99,531.99,0,0,0,1,0
020602.002.001.000,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,4494.04,0,0,0,0,1,0
000800.00C,1.01.01,300,1,0800-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
