PROJ_ID,ORG_ID,ACCT_ID,FY_CD,DIR_AMT,DIR_ALLOW_AMT,DIR_HRS,DIR_ALLOW_HRS,FEE_ON_DIR_AMT,FEE_ON_HRS_AMT,MARKUP_FEE_AMT,TOT_REV_MARKUP_AMT,MODIFIED_BY,TIME_STAMP,TOT_REV_UNITS_AMT,TOT_REV_TM_LAB_AMT,BURD_AMT,AL_BURD_AMT,COM_AMT,COM_AL_AMT,FEE_BURD_AMT,OTH_FEE_AMT,TOT_REV_AMT,OVER_FEE_AMT,OVER_TOT_AMT,REALLOC_AMT,TOT_AL_EXP_AMT,REV_ADJ_AMT,ACCT_FUNC_NO,OVER_CST_AMT,UNITS_QTY,AL_UNITS_QTY,ROWVERSION,COMPANY_ID,DISC_AMT,AWARD_FEE_AMT,OVER_AWRD_AMT,RETRO_AWRD_AMT,TOT_AWD_FEE_AMT,AWARD_FEE_ADJ_AMT
000400.000,1.01.01,0420-000,2016,281810.68,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000400.000,1.01.01,0422-000,2016,17720.65,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000400.000,1.01.01,0425-000,2016,8707.12,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000400.000,1.01.01,0426-000,2016,7317.95,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000400.000,1.01.01,0435-000,2016,1067.14,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000400.000,1.01.01,0440-000,2016,10193.77,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000400.000,1.01.01,0441-000,2016,20202.52,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000400.000,1.01.01,0450-000,2016,1150661.82,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000400.000,1.01.01,0460-000,2016,440057.12,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000400.000,1.01.01,0461-000,2016,3922.5,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000400.000,1.01.01,0468-000,2016,-2974.68,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000400.000,1.01.01,0471-000,2016,10634.42,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000400.ADM,1.01.01,0404-000,2016,9694.4,0,156,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000400.BER,1.01.01,0405-000,2016,3212.94,0,64,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000400.BON,1.01.01,0415-000,2016,1120155.02,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000400.BON,1.01.01,0416-000,2016,5000,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000400.BON,1.01.01,0488-000,2016,54500.01,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000400.HOL,1.01.01,0403-000,2016,505941.89,0,10372,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000400.JUR,1.01.01,0406-000,2016,1205.49,0,24,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000400.LWP,1.01.01,0410-000,2016,-1109.12,0,4869.83,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000400.SEV,1.01.01,0408-000,2016,11875,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000400.VAC,1.01.01,0240-000,2016,-264724.76,0,-5250.24,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000400.VAC,1.01.01,0400-000,2016,1008345.88,0,19049.65,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0513-000,2016,6278.92,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0516-000,2016,4947,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0517-000,2016,10750.73,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0517-005,2016,9200.2,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0517-010,2016,14006.79,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0517-015,2016,37.95,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0517-020,2016,10787.48,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0518-000,2016,272,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0519-000,2016,6173,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0520-000,2016,12552.9,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0522-000,2016,1115.94,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0534-000,2016,857.27,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0540-000,2016,101.65,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0544-000,2016,626.06,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0545-000,2016,1653.65,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.000,1.01,0562-000,2016,1871.84,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.003,1.01,0513-000,2016,2348.5,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.005,1.01,0517-000,2016,656.46,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000500.000.006,1.01.01,0500-000,2016,471.61,0,9,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,154.83,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0512-100,2016,1347.5,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0513-100,2016,42567.18,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0515-100,2016,5485.93,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0516-100,2016,13132.12,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0517-100,2016,72054.53,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0517-105,2016,101084.65,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0517-110,2016,91464.84,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0517-115,2016,5297.75,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0517-120,2016,60804.3,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0517-125,2016,3027.45,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0518-100,2016,2275,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0519-100,2016,42780.64,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0520-100,2016,56399.72,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0521-100,2016,5970.09,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0522-100,2016,24443.87,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0534-100,2016,4482.86,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0540-100,2016,2909.79,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0541-100,2016,1119.43,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0542-100,2016,211.2,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0544-100,2016,731.09,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0545-100,2016,9134.02,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0546-100,2016,1128.62,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0550-100,2016,1449,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.000,1.01,0563-100,2016,814.25,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
